Brand,Model,Launch Date,Price,Ground Type,Material,Weight,Players
Nike,Tiempo Legend VI,2016-08-16,210$,"['AG', 'FG', 'HG', 'SG']",KANGAROO,244g,"['PIQUE,', 'RAMOS,', 'KOSCIELNY,', 'VARANE,', 'LLORIS,', 'CARVAJAL,', 'BOATENG']"
Nike,Mercurial Superfly,2016-02-09,275$,"['AG', 'FG', 'SG']",KNIT,200g,"['ALEXIS SANCHEZ,', 'DYBALA,', 'MARCHISIO,', 'VIDAL,', 'ROJO,', 'PASTORE']"
Nike,Mercurial Superfly,2015-04-25,275$,"['AG', 'FG', 'SG']",KNIT,200g,"['ALEXIS SANCHEZ,', 'DYBALA,', 'MARCHISIO,', 'VIDAL,', 'ROJO,', 'PASTORE']"
Nike,Mercurial Superfly,2015-05-27,275$,"['AG', 'FG', 'SG']",KNIT,200g,"['ALEXIS SANCHEZ,', 'DYBALA,', 'MARCHISIO,', 'VIDAL,', 'ROJO,', 'PASTORE']"
Nike,Mercurial Superfly,2014-12-01,275$,"['AG', 'FG', 'SG']",KNIT,200g,"['ALEXIS SANCHEZ,', 'DYBALA,', 'MARCHISIO,', 'VIDAL,', 'ROJO,', 'PASTORE']"
Nike,Mercurial Superfly,2014-08-21,275$,"['AG', 'FG', 'SG']",KNIT,200g,"['ALEXIS SANCHEZ,', 'DYBALA,', 'MARCHISIO,', 'VIDAL,', 'ROJO,', 'PASTORE']"
Nike,Mercurial Superfly,2015-09-28,275$,"['AG', 'FG', 'SG']",KNIT,200g,"['ALEXIS SANCHEZ,', 'DYBALA,', 'MARCHISIO,', 'VIDAL,', 'ROJO,', 'PASTORE']"
Nike,Mercurial Superfly,2015-12-02,275$,"['AG', 'FG', 'SG']",KNIT,200g,"['ALEXIS SANCHEZ,', 'DYBALA,', 'MARCHISIO,', 'VIDAL,', 'ROJO,', 'PASTORE']"
Nike,Mercurial Superfly,2015-03-27,275$,"['AG', 'FG', 'SG']",KNIT,200g,"['ALEXIS SANCHEZ,', 'DYBALA,', 'MARCHISIO,', 'VIDAL,', 'ROJO,', 'PASTORE']"
Nike,Mercurial Superfly,2015-07-19,275$,"['AG', 'FG', 'SG']",KNIT,200g,"['ALEXIS SANCHEZ,', 'DYBALA,', 'MARCHISIO,', 'VIDAL,', 'ROJO,', 'PASTORE']"
Nike,Mercurial Superfly,2015-02-05,275$,"['AG', 'FG', 'SG']",KNIT,200g,"['ALEXIS SANCHEZ,', 'DYBALA,', 'MARCHISIO,', 'VIDAL,', 'ROJO,', 'PASTORE']"
Nike,Mercurial Superfly,2014-09-25,275$,"['AG', 'FG', 'SG']",KNIT,200g,"['ALEXIS SANCHEZ,', 'DYBALA,', 'MARCHISIO,', 'VIDAL,', 'ROJO,', 'PASTORE']"
Nike,Mercurial Superfly CR7,2015-03-20,300$,"['AG', 'FG', 'SG']",KNIT,200g,['CHRISTIANO RONALDO']
Nike,Mercurial Superfly CR7,2014-10-23,300$,"['AG', 'FG', 'SG']",KNIT,200g,['CHRISTIANO RONALDO']
Nike,Mercurial Superfly CR7,2015-10-29,300$,"['AG', 'FG', 'SG']",KNIT,200g,['CHRISTIANO RONALDO']
Nike,Mercurial Superfly Women's,2016-02-01,275$,['FG'],KNIT,200g,[None]
Nike,Mercurial Superfly Leather,2015-08-13,285$,"['AG', 'FG', 'SG']",KANGAROO,200g,"['ALEXIS SANCHEZ,', 'DYBALA,', 'MARCHISIO,', 'VIDAL,', 'ROJO,', 'PASTORE']"
Nike,HyperVenom Phantom II Leather,2015-11-12,290$,"['AG', 'FG', 'SG']",KANGAROO,209g,"['NEYMAR,', 'WELBECK,', 'LEWANDOWSKI,', 'ISCO']"
Nike,Mercurial Superfly BHM,2015-01-29,285$,"['AG', 'FG', 'SG']",KNIT,200g,"['ALEXIS SANCHEZ,', 'DYBALA,', 'MARCHISIO,', 'VIDAL,', 'ROJO,', 'PASTORE']"
Nike,Mercurial Superfly CR7 Rare Gold,2015-01-12,0$,['SG'],KNIT,200g,['CHRISTIANO RONALDO']
