HÃ¶rÃ°ur MagnÃºsson,Adidas,F50 Adizero>,0,
Milan DjuriÄ,Nike,Tiempo Legend VI>,0,
Davide Succi,Nike,Hypervenom Phantom III DF>,0,
Abdul YabrÃ©,Nike,Mercurial Superfly V>,0,
Andrea Tabanelli,Adidas,X 16.1>,0,
Daniele Capelli,Adidas,ACE 17.1 Leather>,0,
Federico Agliardi,Puma,King>,0,
Gabriele Moncini,Nike,Mercurial Superfly V>,0,
Francesco Renzetti,Nike,Mercurial Vapor XI>,0,
Emmanuel Cascione,Adidas,F50 Adizero>,0,
Lorenzo Saporetti,Nike,Tiempo Legend VI>,0,
Luca Garritano,Nike,Mercurial Superfly V>,0,
ZÃ© Eduardo,Nike,Mercurial Vapor XI>,0,
Walter Bressan,Nike,Tiempo Legend IV>,0,
Guido Marilungo,Nike,Hypervenom Phantom III DF>,0,
GrÃ©goire Defrel,Nike,Hypervenom>,0,
Vincent Laurini,Puma,King>,0,
Davide Moro,Adidas,X 16.1>,0,
Mirko Valdifiori,Adidas,X 15.1>,0,
Massimo Maccarone,Nike,Mercurial Vapor XI>,0,
Franco Signorelli,Nike,Magista Opus>,0,
Levan Mchedlidze,Nike,Mercurial Superfly V>,0,
Francesco Tavano,Nike,Mercurial Vapor XI>,0,
Daniele Croce,Nike,Magista Opus>,0,
Matteo Biggeri,Asics,Lethal Tigreor 7 K>,0,
Simone Verdi,Nike,Mercurial Superfly>,0,
Federico Barba,Lotto,Zhero Gravity VII>,0,
Manuel Pucciarelli,Nike,Mercurial Superfly V>,0,
MÃ¡rio Rui,Adidas,F50 Adizero>,0,
Elseid Hysaj,Adidas,X 16+ Purechaos>,0,
